,Unnamed: 0.1,tollgate_id,direction,precipitation,pressure,rel_humidity,sea_pressure,temperature,wind_direction,wind_speed,volume,weekday,start_date_year,start_date_month,start_date_day,end_date_year,end_date_month,end_date_day,end_time_hour,end_time_min,start_time_hour,start_time_min
0,0,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,18,0,2016.0,10.0,17.0,2016.0,10.0,18.0,0.0,0.0,23.0,40.0
1,1,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,15,0,2016.0,10.0,17.0,2016.0,10.0,18.0,0.0,0.0,23.0,40.0
2,2,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,22,0,2016.0,10.0,17.0,2016.0,10.0,18.0,0.0,0.0,23.0,40.0
3,3,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,2,0,2016.0,10.0,17.0,2016.0,10.0,18.0,0.0,0.0,23.0,40.0
4,4,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,10,0,2016.0,10.0,17.0,2016.0,10.0,18.0,0.0,0.0,23.0,40.0
5,5,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,10,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,40.0,23.0,20.0
6,6,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,8,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,40.0,23.0,20.0
7,7,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,12,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,40.0,23.0,20.0
8,8,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,6,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,40.0,23.0,20.0
9,9,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,13,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,40.0,23.0,20.0
10,10,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,9,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,20.0,23.0,0.0
11,11,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,2,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,20.0,23.0,0.0
12,12,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,9,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,20.0,23.0,0.0
13,13,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,1,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,20.0,23.0,0.0
14,14,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,11,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,20.0,23.0,0.0
15,15,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,23,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,0.0,22.0,40.0
16,16,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,19,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,0.0,22.0,40.0
17,17,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,28,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,0.0,22.0,40.0
18,18,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,4,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,0.0,22.0,40.0
19,19,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,19,0,2016.0,10.0,17.0,2016.0,10.0,17.0,23.0,0.0,22.0,40.0
20,20,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,21,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,40.0,22.0,20.0
21,21,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,20,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,40.0,22.0,20.0
22,22,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,18,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,40.0,22.0,20.0
23,23,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,10,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,40.0,22.0,20.0
24,24,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,18,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,40.0,22.0,20.0
25,25,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,21,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,20.0,22.0,0.0
26,26,3,0,0.0,1013.9,90,1018.9,19.3,322,2.5,17,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,20.0,22.0,0.0
27,27,3,1,0.0,1013.9,90,1018.9,19.3,322,2.5,16,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,20.0,22.0,0.0
28,28,1,0,0.0,1013.9,90,1018.9,19.3,322,2.5,12,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,20.0,22.0,0.0
29,29,1,1,0.0,1013.9,90,1018.9,19.3,322,2.5,15,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,20.0,22.0,0.0
30,30,2,0,0.0,1013.9,90,1018.9,19.3,322,2.5,17,0,2016.0,10.0,17.0,2016.0,10.0,17.0,22.0,0.0,21.0,40.0
